,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
1848,Solara Active Pharma Sciences,Pharma ,3.8,409 Reviews,6 years old,"Promotions / Appraisal, Company Culture, Job Security",
1849,Toothsi,Internet ,2.8,406 Reviews,6 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
1850,Jindal Poly Films,Packaging ,3.6,405 Reviews,50 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
1851,TSYS|Total System Services,Financial Services ,4.4,403 Reviews,40 years old,"Work Life Balance, Job Security, Company Culture",
1852,Bajaj Capital Insurance,Insurance ,3.7,402 Reviews,20 years old,"Promotions / Appraisal, Work Satisfaction",
1853,Metro Group of Hospitals,Healthcare ,3.8,397 Reviews,27 years old,"Promotions / Appraisal, Salary & Benefits",
1854,Adarsh Credit Co-Operative Society,Investment Banking / Venture Capital / Private Equity ,4.0,395 Reviews,25 years old,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",
1855,Sterling Holiday Resort,Hospitality ,3.9,404 Reviews,38 years old,Promotions / Appraisal,
1856,Cyfuture,IT Services & Consulting ,3.3,403 Reviews,23 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1857,Castrol,Petrochemicals ,4.2,400 Reviews,125 years old,"Salary & Benefits, Company Culture, Work Life Balance",
1858,Syrma Technology,Electronics Manufacturing ,4.2,414 Reviews,20 years old,"Skill Development / Learning, Job Security, Work Life Balance",
1859,Efs Facilities Services,Facility Management Services ,3.9,402 Reviews,18 years old,"Promotions / Appraisal, Salary & Benefits",
1860,Efs Facilities Services,Facility Management Services ,3.9,402 Reviews,18 years old,"Promotions / Appraisal, Salary & Benefits",
1861,Satyam Auto Components,Auto Components ,4.0,401 Reviews,23 years old,Job Security,Promotions / Appraisal
1862,Dineshchandra R Agarwal Infracon,Engineering & Construction ,4.2,401 Reviews,52 years old,"Work Satisfaction, Salary & Benefits, Work Life Balance",
1863,Novotel Hotels,Hospitality ,4.5,398 Reviews,57 years old,"Job Security, Skill Development / Learning, Company Culture",
1864,N.C.L. Industries,Building Material ,3.9,397 Reviews,44 years old,"Promotions / Appraisal, Salary & Benefits",
1865,Axtria,Software Product ,3.3,414 Reviews,14 years old,"Work Life Balance, Work Satisfaction, Company Culture",
1866,Deloitte Digital,IT Services & Consulting ,3.9,405 Reviews,7 years old,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal
1867,Carrier,Consumer Electronics & Appliances ,3.9,404 Reviews,109 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
1868,Glenmark Life Sciences,Pharma ,3.8,402 Reviews,47 years old,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
1869,HBL Global,NBFC ,4.1,396 Reviews,24 years old,"Skill Development / Learning, Job Security, Company Culture",
1870,Trigent Software,IT Services & Consulting ,3.8,406 Reviews,29 years old,Promotions / Appraisal,
1871,Fena,FMCG ,4.2,398 Reviews,48 years old,"Job Security, Salary & Benefits, Company Culture",
1872,Micron Electricals,Engineering & Construction ,4.0,396 Reviews,48 years old,"Promotions / Appraisal, Salary & Benefits",
1873,Wellness Forever Medicare,Retail ,4.0,399 Reviews,16 years old,"Skill Development / Learning, Company Culture",
1874,BLK Super Speciality Hospital,Healthcare ,4.1,399 Reviews,65 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
1875,Danfoss Industries,Electrical Equipment ,4.2,397 Reviews,31 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
1876,TVS Eurogrip,Auto Components ,3.8,396 Reviews,42 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
1877,Larsen & Toubro Group,Engineering & Construction ,4.1,395 Reviews,,"Job Security, Skill Development / Learning, Company Culture",
1878,Indecomm Global Services,IT Services & Consulting ,3.7,394 Reviews,21 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1879,Sasken,IT Services & Consulting ,3.6,399 Reviews,35 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
1880,Leighton Contractors,Engineering & Construction ,4.1,397 Reviews,26 years old,"Salary & Benefits, Company Culture, Skill Development / Learning",Job Security
1881,SIS Prosegur Holdings,Law Enforcement & Security ,3.8,395 Reviews,29 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1882,Healthians,Healthcare ,3.5,394 Reviews,11 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
1883,Scientific Publishing Services,Analytics & KPO ,3.9,393 Reviews,29 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1884,Škoda Auto Volkswagen,Automobile ,4.3,405 Reviews,23 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
1885,Reliance Infrastructure,Engineering & Construction ,4.1,397 Reviews,95 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
1886,South Indian Bank,Banking ,3.7,393 Reviews,95 years old,"Job Security, Salary & Benefits","Work Satisfaction, Promotions / Appraisal, Work Life Balance"
1887,Usha Martin,Iron & Steel ,4.1,390 Reviews,63 years old,"Job Security, Work Life Balance, Skill Development / Learning",
1888,Reliance Capital,Financial Services ,3.9,393 Reviews,19 years old,"Work Life Balance, Company Culture",Promotions / Appraisal
1889,QHTalbros,Auto Components ,3.6,391 Reviews,38 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
1890,Acadecraft,EdTech ,3.0,390 Reviews,13 years old,"Job Security, Work Satisfaction, Promotions / Appraisal",
1891,Welspun Corp,Iron & Steel ,4.1,400 Reviews,39 years old,"Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security"
1892,Torry Harris Integration Solutions,IT Services & Consulting ,3.9,400 Reviews,26 years old,"Work Life Balance, Job Security, Company Culture",
1893,North East Small Finance Bank,Banking ,4.1,397 Reviews,8 years old,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
1894,Inspirisys Solution,IT Services & Consulting ,3.9,397 Reviews,33 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
1895,Tata Power Solar,Power ,4.3,396 Reviews,35 years old,"Job Security, Skill Development / Learning, Company Culture",
1896,IIFL Home Finance,,4.0,396 Reviews,,"Work Life Balance, Salary & Benefits, Job Security",
1897,Transrail Lighting,Engineering & Construction ,4.0,395 Reviews,16 years old,Job Security,"Promotions / Appraisal, Skill Development / Learning"
1898,Dr. Reddy's Foundation,Non-Profit ,4.1,394 Reviews,28 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
1899,Moser Baer,Consumer Electronics & Appliances ,4.1,384 Reviews,41 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
1900,NLC,Metals & Mining ,4.5,398 Reviews,68 years old,"Work Life Balance, Work Satisfaction, Job Security",
1901,S P Singla Constructions,Engineering & Construction ,3.8,397 Reviews,28 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1902,Einfochips,IT Services & Consulting ,3.6,396 Reviews,30 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1903,Jiva Ayurvedic Pharmacy,Healthcare ,3.8,395 Reviews,32 years old,"Promotions / Appraisal, Salary & Benefits",
1904,Sarovar Hotels & Resorts,Hospitality ,4.3,395 Reviews,28 years old,"Work Life Balance, Skill Development / Learning, Job Security",
1905,Universal Sompo General Insurance,Insurance ,3.8,394 Reviews,17 years old,Promotions / Appraisal,
1906,Emerson Electric Co.,IT Services & Consulting ,4.2,392 Reviews,134 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1907,British Council,Education & Training ,3.7,391 Reviews,90 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
1908,Jorie Healthcare,Healthcare ,4.6,388 Reviews,9 years old,"Company Culture, Job Security, Work Life Balance",
1909,Cvent,IT Services & Consulting ,3.5,399 Reviews,25 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
1910,NICE,Software Product ,3.8,390 Reviews,38 years old,Promotions / Appraisal,
1911,Carlsberg,Beverage ,4.3,385 Reviews,177 years old,"Salary & Benefits, Company Culture, Work Life Balance",
1912,smartData Enterprises,IT Services & Consulting ,3.5,392 Reviews,25 years old,"Job Security, Salary & Benefits, Work Life Balance",
1913,QUICK HEAL TECHNOLOGIES,Software Product ,3.8,387 Reviews,29 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1914,Ramkrishna Forgings,Railways ,3.7,397 Reviews,43 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
1915,RapiPay,FinTech ,4.1,396 Reviews,6 years old,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
1916,Sulzer,Industrial Machinery ,3.8,392 Reviews,190 years old,Promotions / Appraisal,
1917,Onshore Construction,Engineering & Construction ,3.8,391 Reviews,29 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
1918,Otsuka Pharmaceutical India Private Limited,Pharma ,4.2,391 Reviews,8 years old,"Job Security, Work Life Balance, Company Culture",
1919,Tuaman Engineering,Engineering & Construction ,4.2,386 Reviews,19 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
1920,GD Goenka Public School,Education & Training ,3.9,390 Reviews,30 years old,Skill Development / Learning,
1921,Lite Bite Foods,Hospitality ,4.4,388 Reviews,23 years old,"Skill Development / Learning, Company Culture, Job Security",
1922,Razorpay,FinTech ,3.8,399 Reviews,10 years old,Promotions / Appraisal,
1923,Baazar Kolkata,Retail ,4.3,391 Reviews,22 years old,"Company Culture, Job Security, Work Life Balance",
1924,FMC,Agro Chemicals ,4.2,391 Reviews,15 years old,"Work Life Balance, Company Culture, Salary & Benefits",
1925,Navin Fluorine International,Chemicals ,4.1,388 Reviews,57 years old,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
1926,Value Point Systems,IT Services & Consulting ,3.8,388 Reviews,33 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
1927,RealPage,IT Services & Consulting ,3.8,392 Reviews,26 years old,"Company Culture, Work Life Balance",Promotions / Appraisal
1928,Paramount Health Services Tpa,Internet ,3.8,391 Reviews,22 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1929,SG Analytics,Analytics & KPO ,3.6,385 Reviews,18 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1930,Bharat Biotech International,Biotechnology ,3.2,382 Reviews,28 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
1931,Global Autotech,Auto Components ,4.0,381 Reviews,19 years old,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
1932,DBG Technology,Electronics Manufacturing ,4.0,394 Reviews,29 years old,"Job Security, Salary & Benefits",
1933,Koch Business Solutions,Oil & Gas ,3.6,391 Reviews,84 years old,"Promotions / Appraisal, Work Satisfaction",
1934,Wakefit,Furniture & Furnishing ,4.1,390 Reviews,8 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
1935,Excitel Broadband,Telecom ,3.8,386 Reviews,9 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
1936,Flipkart Logistics,Logistics ,4.1,383 Reviews,,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
1937,McCain Foods,Food Processing ,4.2,381 Reviews,28 years old,"Salary & Benefits, Company Culture, Work Life Balance",
1938,Venky's,FMCG ,3.7,380 Reviews,48 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
1939,Satyam Venture Engineering Services,Auto Components ,3.9,380 Reviews,24 years old,"Job Security, Work Life Balance",
1940,Acme Generics LLP,Pharma ,4.4,380 Reviews,19 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
1941,Virtual Employee,Recruitment ,3.4,388 Reviews,17 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
1942,Cotiviti,Analytics & KPO ,4.0,388 Reviews,45 years old,"Job Security, Work Life Balance",Promotions / Appraisal
1943,Serum Institute of India,Biotechnology ,4.4,380 Reviews,58 years old,"Job Security, Work Life Balance, Salary & Benefits",
1944,Glaze Trading India,Retail ,4.0,372 Reviews,21 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
1945,Axiscades,IT Services & Consulting ,3.3,385 Reviews,34 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1946,ExxonMobil,Oil & Gas ,3.8,383 Reviews,2024 years old,Salary & Benefits,Work Satisfaction
1947,Google Operations Center,Internet ,3.6,394 Reviews,,"Promotions / Appraisal, Work Satisfaction, Job Security",
1948,Impetus Technologies,IT Services & Consulting ,3.7,384 Reviews,33 years old,Job Security,Work Satisfaction
1949,Gainwell Commosales,Industrial Machinery ,4.2,383 Reviews,80 years old,"Job Security, Skill Development / Learning, Company Culture",
1950,ManipalCigna Health Insurance,Insurance ,4.0,381 Reviews,12 years old,"Work Life Balance, Company Culture",
1951,Pepperfry,Furniture & Furnishing ,3.5,379 Reviews,13 years old,"Promotions / Appraisal, Job Security, Work Life Balance",
1952,Pearson Education India,Education & Training ,4.1,378 Reviews,24 years old,"Work Life Balance, Company Culture, Work Satisfaction",
1953,Sapphire Foods India,Retail ,4.0,386 Reviews,9 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
1954,Wissen Technology,IT Services & Consulting ,4.0,384 Reviews,9 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
1955,India Post,Government ,3.9,383 Reviews,170 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1956,Uppcl,Power ,4.0,379 Reviews,25 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal
1957,Kokilaben Dhirubhai Ambani Hospital,Healthcare ,3.9,375 Reviews,15 years old,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
